Arm,PuzzleId,FEN,PlayedMove,GroundTruth,Continuation,Category,Band,Rating,RatingDeviation,GeneratedThemes,GameUrl,TrainingUrl,Review
blunder,Wj3vh,r4q1k/6pp/1p3n2/5N2/P1b2P2/1Q2P2P/K5P1/2bR2R1 w - - 0 31,b3c4,blunder,f8a3 a2b1 a3b2,mate,<1200,1098,186,mate mateIn2 short,https://lichess.org/qvOX1T4Q#61,https://lichess.org/training/Wj3vh,ok
blunder,f16cc,r1b2rk1/ppqn1pbp/3p3B/2p3Qp/3pP3/5P2/PPP1N1P1/2KR1BN1 b - - 1 14,c7d8,blunder,g5g7,mate,<1200,976,198,kingsideAttack mate mateIn1 oneMove,https://lichess.org/6Tc4iBpP/black#28,https://lichess.org/training/f16cc,ok
blunder,ayDnJ,r5k1/1p3ppp/q3p3/2RpPn2/1P1P1P2/P2Q4/5BPP/2R3K1 b - - 0 24,a6d3,blunder,c5c8 a8c8 c1c8,mate,<1200,927,114,backRankMate mate mateIn2 short,https://lichess.org/NQeZcVX9/black#48,https://lichess.org/training/ayDnJ,ok
blunder,2NC6V,3r2rk/p5p1/2p4R/7Q/8/3p4/P1P2PPK/8 b - - 0 32,g7h6,blunder,h5h6,mate,<1200,1049,144,mate mateIn1 oneMove queenRookEndgame,https://lichess.org/slerebHH/black#64,https://lichess.org/training/2NC6V,ok
blunder,GuOff,1k1r4/pp3R2/2b1p1p1/2q1P2p/6Q1/3B4/PPP3PP/1K6 w - - 0 24,g4g6,blunder,c5g1 f7f1 g1f1 d3f1 d8d1,mate,<1200,757,118,backRankMate long mate mateIn3 sacrifice,https://lichess.org/viShEVCy#47,https://lichess.org/training/GuOff,ok
blunder,WWO7N,7k/R7/p6p/6pK/P3r3/7P/8/8 b - - 1 42,e4a4,blunder,h5g6 a4b4 a7a8 b4b8 a8b8,mate,1200-1599,1587,123,exposedKing long mate mateIn3 rookEndgame,https://lichess.org/xHXhOdnW/black#84,https://lichess.org/training/WWO7N,ok
blunder,Nx8fl,2qr3r/3pRkpp/p2Q1p2/5P2/8/8/1P3PPP/6K1 b - - 2 26,f7g8,blunder,d6d5 g8f8 d5f7,mate,1200-1599,1235,123,mate mateIn2 short,https://lichess.org/sGwPnV0D/black#52,https://lichess.org/training/Nx8fl,ok
blunder,FHpic,8/8/8/8/8/4b1k1/7p/5RrK w - - 12 76,f1g1,blunder,h2g1q,mate,1200-1599,1387,89,advancedPawn mate mateIn1 oneMove promotion,https://lichess.org/gJQHY5af#151,https://lichess.org/training/FHpic,ok
blunder,fTLcz,3r1r1k/1p5P/p3ppp1/6p1/1n1PQ1R1/2q5/2P2P1R/3KN3 b - - 1 32,f6f5,blunder,e4e5 f8f6 e5f6,mate,1200-1599,1218,168,kingsideAttack mate mateIn2 short,https://lichess.org/v0cTyh6K/black#64,https://lichess.org/training/fTLcz,ok
blunder,VldEx,3rrk2/2p2pp1/1p5q/2n2QN1/p3pP1P/P1N5/1P4P1/1K3R2 b - - 1 28,e4e3,blunder,f5f7,mate,1200-1599,1206,77,mate mateIn1 oneMove,https://lichess.org/V81uWSCR/black#56,https://lichess.org/training/VldEx,ok
blunder,mP0AX,1k1r3r/ppp2pp1/8/3Nn3/4P1pq/4Q3/PPP1BPP1/R2R2K1 w - - 2 18,f2f3,blunder,h4h1 g1f2 g4g3 f2g3 h1h4,mate,1600-1999,1876,155,attraction kingsideAttack long mate mateIn3,https://lichess.org/p65wkGbt#35,https://lichess.org/training/mP0AX,ok
blunder,3B0xu,5Nk1/1b2bpp1/7p/7n/Q2P1P2/2P4P/1PB2qPK/2B3R1 w - - 3 29,f8g6,blunder,f2g3 h2h1 g3h3,mate,1600-1999,1608,165,deflection mate mateIn2 pin short,https://lichess.org/obZp19x6#57,https://lichess.org/training/3B0xu,ok
blunder,wMMIw,6k1/4b1p1/2p1p1p1/pp4r1/8/P3q1NQ/1PP5/1K5R b - - 1 31,e3g3,blunder,h3e6 g8f8 h1h8,mate,1600-1999,1892,80,fork mate mateIn2 short,https://lichess.org/NBJMa1ZU/black#62,https://lichess.org/training/wMMIw,ok
blunder,GsDaI,1k5r/ppp1Qpp1/1qp5/8/3r2Bp/6n1/PPP2P2/R3R1K1 b - - 3 22,d4g4,blunder,e7e8 h8e8 e1e8,mate,1600-1999,1647,231,backRankMate mate mateIn2 sacrifice short,https://lichess.org/mbk8yV5d/black#44,https://lichess.org/training/GsDaI,ok
blunder,7WRwH,3r3k/p5p1/1b2Q2p/8/P4p2/2P2B2/1Pq2PPP/5RK1 w - - 0 28,f3e4,blunder,c2f2 f1f2 d8d1,mate,1600-1999,1664,77,mate mateIn2 pin sacrifice short,https://lichess.org/oxSTbwLN#55,https://lichess.org/training/7WRwH,ok
blunder,sBbht,4r1k1/p4p2/1pn3pB/2pb2Q1/5P2/3Pq2N/PPP1rRPP/R5K1 w - - 5 25,g5f6,blunder,e3f2 h3f2 e2e1 a1e1 e8e1,mate,2000+,2121,84,kingsideAttack long mate mateIn3 sacrifice,https://lichess.org/Wewt9QTD#49,https://lichess.org/training/sBbht,ok
blunder,MUzRY,2r5/5r2/p5p1/1p1kp1P1/1P6/P2R1P2/1P6/1K6 b - - 1 36,d5c4,blunder,b1c2 e5e4 b2b3,mate,2000+,2247,103,mate mateIn2 rookEndgame short,https://lichess.org/QkKazwzv/black#72,https://lichess.org/training/MUzRY,ok
blunder,rGMTW,4kB1Q/p4p2/r1pbp3/q1pp4/5P2/1PnPP2P/2PNQ3/1K1R3R w - - 1 24,h8c3,blunder,a5c3 b1c1 a6a2 d2b1 c3b2 c1d2 b2c2 d2e1 c2e2,mate,2000+,2288,105,hangingPiece mate mateIn5 queensideAttack veryLong,https://lichess.org/1oAYA3sS#47,https://lichess.org/training/rGMTW,ok
blunder,v1tRG,6k1/p2r1pp1/1p2pq1p/2b5/4R3/2P2N2/PP2QPPP/6K1 w - - 0 21,f3e5,blunder,f6f2 e2f2 d7d1 e4e1 d1e1,mate,2000+,2031,89,kingsideAttack long mate mateIn3 pin sacrifice,https://lichess.org/Pjjc2Nwd#41,https://lichess.org/training/v1tRG,ok
blunder,fMkW1,8/2R5/p5kp/2R3p1/P7/5PK1/1r1r2PP/8 w - - 6 39,f3f4,blunder,d2d3 g3g4 b2g2,mate,2000+,2110,83,deflection discoveredAttack mate mateIn2 rookEndgame short,https://lichess.org/3bE9y9yg#77,https://lichess.org/training/fMkW1,ok
blunder,5PEID,r1b1r3/ppp2p1k/6pp/3Nb3/2P2P2/8/P3B1PP/1R2K2R b K - 0 18,e5d6,blunder,d5f6 h7h8 f6e8,fork,<1200,741,142,fork short,https://lichess.org/8HgqHlYr/black#36,https://lichess.org/training/5PEID,ok
blunder,G58jG,r4r2/pp5k/3p4/3p1q1p/3QpPN1/P1P4P/2P5/6RK b - - 1 27,f8g8,blunder,g4f6 f5f6 d4f6 g8g1 h1g1,fork,<1200,1042,186,fork long,https://lichess.org/FYbC2Y6a/black#54,https://lichess.org/training/G58jG,ok
blunder,ttYg5,1r3b1k/7p/8/4p2q/4Q3/3B1pP1/5P2/3R2K1 b - - 2 40,h5f7,blunder,e4e5 f8g7 e5b8,fork,<1200,1098,314,fork short,https://lichess.org/iW4xXMw3/black#80,https://lichess.org/training/ttYg5,ok
blunder,RcNw6,6k1/5p2/3p2p1/7p/8/1N2r1qP/2Q3P1/3R2K1 w - - 2 32,b3d4,blunder,e3e1 d1e1 g3e1 g1h2 e1e5 g2g3 e5d4,fork,<1200,1067,104,fork veryLong,https://lichess.org/dwNjMKRq#63,https://lichess.org/training/RcNw6,ok
blunder,AbLd9,6k1/1pp3p1/1p4qp/n7/2P1n3/1P1Q1RrP/PB4P1/5R1K w - - 7 30,f3g3,blunder,e4g3 d3g3 g6g3,fork,<1200,992,99,fork short,https://lichess.org/8UFjTAhn#59,https://lichess.org/training/AbLd9,ok
blunder,LEP7C,4r3/p3q1k1/n4bpp/1B3pN1/7P/4B3/PP3PP1/3Q2K1 b - - 0 29,e8d8,blunder,d1d8 e7d8 g5e6 g7h7 e6d8,fork,1200-1599,1489,79,attraction fork long sacrifice,https://lichess.org/ACl6wacK/black#58,https://lichess.org/training/LEP7C,ok
blunder,QHZEv,3qr1k1/pp1n1rp1/2p1RN1B/3p2b1/3P4/5N2/PPP2PPP/4R1K1 b - - 1 18,g5f6,blunder,e6e8 d8e8 e1e8 f7f8 e8f8,fork,1200-1599,1251,122,fork long,https://lichess.org/2pS81fb3/black#36,https://lichess.org/training/QHZEv,ok
blunder,CuMnK,5r1k/5p2/2p2q1p/1p3BpQ/p1P2p2/P1P4P/1r6/4B1RK b - - 1 30,f6f5,blunder,h5h6 f5h7 h6f8,fork,1200-1599,1522,76,fork short,https://lichess.org/Yd5FquNO/black#60,https://lichess.org/training/CuMnK,ok
blunder,hKBd8,8/2r2p1p/1pNn1kp1/1P6/5PP1/R3K3/7P/8 w - - 3 36,c6d4,blunder,d6c4 e3d3 c4a3,fork,1200-1599,1343,119,fork short,https://lichess.org/XNcGeYyD#71,https://lichess.org/training/hKBd8,ok
blunder,vI2SE,2b5/rpp3pk/p2P2pp/4p3/PP5q/1Q6/6PP/RN3BK1 w - - 0 20,d6c7,blunder,h4d4 g1h1 d4a1,fork,1200-1599,1348,314,fork short,https://lichess.org/gmDxE3An#39,https://lichess.org/training/vI2SE,ok
