PuzzleId,Arm,BeforeBestMove,BeforeScoreCentipawns,BeforeMateIn,AfterPlayedBestMove,AfterPlayedScoreCentipawns,AfterPlayedMateIn,AfterRefutationBestMove,AfterRefutationScoreCentipawns,AfterRefutationMateIn
Wj3vh,blunder,d1d6,-773,,f8a3,10000,2,a2b1,-10000,-1
f16cc,blunder,d4d3,-10000,-1,g5g7,10000,1,,-10000,0
ayDnJ,blunder,h7h5,-653,,c5c8,10000,2,a8c8,-10000,-1
2NC6V,blunder,g7h6,-10000,-1,h5h6,10000,1,,-10000,0
GuOff,blunder,g4g5,84,,c5g1,10000,3,f7f1,-10000,-2
WWO7N,blunder,e4e6,0,,h5g6,10000,3,a4b4,-10000,-2
Nx8fl,blunder,f7f8,-10000,-3,d6d5,10000,2,g8f8,-10000,-1
FHpic,blunder,f1g1,-10000,-1,h2g1q,10000,1,,-10000,0
fTLcz,blunder,b4c6,445,,e4e5,10000,2,f8f6,-10000,-1
VldEx,blunder,h6g6,399,,f5f7,10000,1,,-10000,0
mP0AX,blunder,f2f4,-260,,h4h1,10000,3,g1f2,-10000,-2
3B0xu,blunder,a4d7,413,,f2g3,10000,2,h2h1,-10000,-1
wMMIw,blunder,g5g3,594,,h3e6,10000,2,g8f8,-10000,-1
GsDaI,blunder,a7a5,433,,e7e8,10000,2,h8e8,-10000,-1
7WRwH,blunder,a4a5,378,,c2f2,10000,2,f1f2,-10000,-1
sBbht,blunder,g5g3,-238,,e3f2,10000,3,h3f2,-10000,-2
MUzRY,blunder,d5e6,595,,b1c2,10000,2,e5e4,-10000,-1
rGMTW,blunder,b1b2,0,,a5c3,10000,5,b1c1,-10000,-4
v1tRG,blunder,g2g3,-3,,f6f2,10000,3,e2f2,-10000,-2
fMkW1,blunder,g3h3,-393,,d2d3,10000,2,g3g4,-10000,-1
5PEID,blunder,e5g7,243,,d5f6,409,,h7h8,-405,
G58jG,blunder,e4e3,479,,g4f6,630,,f5f6,-647,
ttYg5,blunder,b8d8,-14,,e4e5,569,,f7g7,-593,
RcNw6,blunder,b3c1,0,,e3e1,424,,d1e1,-421,
AbLd9,blunder,d3d5,690,,e4g3,487,,d3g3,-489,
LEP7C,blunder,f5f4,93,,d1d8,464,,e7d8,-475,
QHZEv,blunder,d7f6,419,,e6e8,363,,f7f8,-369,
CuMnK,blunder,f8e8,502,,h5h6,303,,f5h7,-302,
hKBd8,blunder,a3a6,0,,d6c4,597,,e3f3,-591,
vI2SE,blunder,b3c4,376,,h4d4,407,,g1h1,-374,
whDwA,blunder,d8e8,172,,f5e5,504,,g8g7,-509,
bpCbt,blunder,h7e7,405,,b1h7,370,,g8h7,-381,
8L114,blunder,d3c3,43,,b7b5,387,,c4b3,-388,
UQlwg,blunder,b4c5,370,,c4d4,351,,g7g8,-347,
zwVsY,blunder,e4c3,329,,b4c2,295,,d1c2,-288,
4Iwfx,blunder,e2e1,129,,e4f3,234,,d2f3,-234,
Q6TTF,blunder,h5g4,637,,f5g7,628,,h5g6,-647,
RsNoa,blunder,a8c8,433,,d1d8,336,,e8d8,-359,
Fiohr,blunder,a5a4,366,,b3f7,347,,g8f7,-404,
BV63p,blunder,f3e3,0,,e6d5,417,,f3e2,-396,
SUETI,blunder,e1e2,26,,e7b4,431,,e1g1,-434,
HK1bO,blunder,g1h2,407,,d1e1,221,,e3e1,-238,
dIl9e,blunder,e8g8,29,,e2e4,302,,f6e4,-313,
