PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate,GameDate
00J9b,4k2r/4bppp/5n2/4N3/3P4/2P3P1/rp1KQP1P/1R5q b k - 1 21,h1b1 e2b5 e8f8 b5b8 f6e8 e5d7 f8g8 b8e8 e7f8 e8f8,1478,109,100,44,middlegame,https://lichess.org/5clAThq4/black#42,,,2026-06-05
00mAw,8/2p3p1/2p2k2/6p1/P5P1/3P1K1p/2P5/8 b - - 0 42,f6e5 a4a5 e5e6 a5a6 h3h2 f3g2,1618,81,100,84,endgame,https://lichess.org/m9mYwFoA/black#84,,,2026-06-03
00mmI,8/5p2/7k/5K1P/5P2/6R1/8/5r2 b - - 4 49,h6h5 g3h3,1262,76,100,104,endgame,https://lichess.org/flZyNmmd/black#98,,,2026-06-01
00n9d,8/8/p5p1/1p3P1p/4K2P/k3P3/8/8 b - - 0 56,b5b4 f5f6 b4b3 f6f7 a3a2 f7f8q,1581,99,100,19,endgame,https://lichess.org/SUDR38Yd/black#112,,,2026-06-07
00wWX,r3kr2/pR2n2p/2p1p1p1/2q1P3/2P4Q/8/P4PPP/3R2K1 b q - 1 22,a8d8 d1d8 e8d8 b7b8 d8d7 b8f8,1423,188,100,6,middlegame,https://lichess.org/rBmuMVDu/black#44,,,2026-06-06
00ynV,3r3r/1p3pk1/1q3NpR/p7/2B5/2P2Q2/1PK2PP1/8 b - - 0 30,h8h6 f6e8 g7h8 f3f7 d8d2 c2d2,1978,97,100,25,endgame,https://lichess.org/oQvJjKHd/black#60,,,2026-06-03
010hK,3r1rk1/pp2ppbp/2n3p1/6q1/8/PBp1PP1P/2P1QP1K/R1B2R2 b - - 5 18,c6e5 f3f4 g5f6 f4e5,1152,122,100,12,middlegame,https://lichess.org/2luV29tB/black#36,Vant_Kruijs_Opening Vant_Kruijs_Opening_Other_variations,,2026-06-01
01Mnd,6rk/3Q3p/p1r2q2/2Np4/3P4/P1K1P3/1P6/R1B5 w - - 15 36,d7d5 g8g5 d5g5 f6g5,2008,178,100,5,middlegame,https://lichess.org/wn9q3bzN#71,,,2026-06-08
01P69,6k1/5p2/b2P1p1p/p7/P3PQ2/6PP/1pr2qBK/4R3 w - - 0 37,d6d7 f2g2,1212,104,100,21,endgame,https://lichess.org/iLwX580M#73,,,2026-06-03
01PDL,8/p6k/6p1/1pK1Bp2/2p2P2/P2bP1P1/1P5P/8 w - - 4 31,c5b5 c4c3 b5b4 c3c2 b4c3 c2c1q,1244,83,100,52,endgame,https://lichess.org/SWSZt5hP#61,,,2026-06-06
01g8T,4rk2/1r3p2/1p1R2p1/2p2p1b/p1P2B1P/P1P3R1/1P6/2K5 b - - 1 30,f8e7 g3e3 e7f8 f4h6 f8g8 e3e8,1279,78,100,107,endgame,https://lichess.org/DkqFZTzC/black#60,,,2026-06-02
