PuzzleId,GeneratedThemes
00J9b,mateIn5 mate deflection fork veryLong
00mAw,quietMove pawnEndgame long
00mmI,mateIn1 mate rookEndgame oneMove
00n9d,advancedPawn promotion pawnEndgame long
00wWX,attraction exposedKing skewer long
00ynV,deflection discoveredAttack long
010hK,fork short
01Mnd,short
01P69,mateIn1 mate oneMove
01PDL,advancedPawn discoveredAttack promotion bishopEndgame long
01g8T,deflection long
02Aho,mateIn2 mate short
02E9I,short
02GCe,short
02QOT,pawnEndgame veryLong
02Syu,xRayAttack fork short
03Fju,mateIn1 mate oneMove
03iWa,discoveredAttack short
047iS,mateIn2 mate short
048Kv,defensiveMove exposedKing long
04Ake,long
04GCl,fork short
04QvV,deflection rookEndgame short
04S7d,fork short
058KH,mateIn2 mate rookEndgame short
05ABJ,pawnEndgame short
05EF3,mateIn1 mate oneMove
065VA,mateIn1 mate oneMove
06I4b,mateIn2 mate backRankMate short
06I6N,intermezzo pawnEndgame long
06IPr,mateIn2 mate doubleCheck short
06LpI,attraction deflection fork exposedKing capturingDefender veryLong
06QVP,mateIn1 mate oneMove
06bLx,long
06yqO,advancedPawn sacrifice promotion long
0793N,mateIn2 mate short
07MQU,queenEndgame short
07UIr,attraction deflection queensideAttack long
07bGU,mateIn1 mate backRankMate oneMove
07dGS,mateIn1 mate oneMove
07fya,sacrifice veryLong
07jP3,hangingPiece long
08852,mateIn1 mate kingsideAttack oneMove
08DPS,pawnEndgame short
08Fl7,mateIn3 mate advancedPawn doubleCheck fork exposedKing promotion long
08Nkz,mateIn1 mate oneMove
08RnE,discoveredAttack short
08eGr,exposedKing skewer veryLong
08lx4,mateIn4 mate sacrifice kingsideAttack veryLong
08tzj,skewer rookEndgame short
093y7,exposedKing skewer long
09GfS,attraction short
09VlI,mateIn2 mate queenRookEndgame short
09YcK,mateIn1 mate kingsideAttack oneMove
09q1C,hangingPiece short
09ywy,skewer veryLong
0A8Lx,mateIn1 mate oneMove
0AVXc,discoveredAttack short
0AZiG,deflection rookEndgame veryLong
0BKcq,mateIn1 mate backRankMate rookEndgame oneMove
0BNUY,pawnEndgame short
0BVi6,mateIn2 mate short
0BYJG,fork long
0Bf7c,mateIn2 mate short
0Boud,mateIn2 mate short
0CD31,fork short
0CHci,pin queensideAttack short
0CSHI,skewer rookEndgame long
0CkYD,short
0D61w,mateIn1 mate oneMove
0DPWz,advancedPawn pawnEndgame long
0DQyI,deflection short
0Dgyt,discoveredAttack short
0Dz3T,mateIn1 mate oneMove
0Ektu,sacrifice pin long
0Enwh,discoveredAttack long
0Eu9Z,fork short
0F0X2,long
0F76W,deflection exposedKing long
0FMZo,pin short
0FrmJ,mateIn1 mate attackingF2F7 oneMove
0G25R,exposedKing veryLong
0G3Vf,advancedPawn queenEndgame long
0G893,mateIn2 mate short
0GTKr,fork short
0Gj1U,pawnEndgame long
0GjzG,mateIn1 mate oneMove
0HES6,fork long
0HUpG,short
0HcsC,mateIn1 mate oneMove
0HsNt,long
0HxMT,mateIn1 mate oneMove
0IHX0,quietMove defensiveMove long
0IKGV,fork short
0IKfA,fork short
0IWzd,mateIn3 mate deflection sacrifice long
0Iaiy,fork short
0IhOw,veryLong
0IrfY,long
0JSr1,mateIn1 mate oneMove
0Ji2k,mateIn2 mate short
0Jih4,mateIn2 mate short
0K5qS,veryLong
0KMu5,mateIn1 mate backRankMate oneMove
0Km44,trappedPiece short
0Kx2I,queensideAttack long
0LKTP,mateIn1 mate hangingPiece oneMove
0LTdW,quietMove veryLong
0M1yC,mateIn1 mate kingsideAttack oneMove
0MoFm,mateIn1 mate kingsideAttack oneMove
0N1sk,deflection kingsideAttack long
0NV1r,advancedPawn quietMove veryLong
0Olfr,short
0OyKZ,skewer short
0OzKj,fork short
0P2vn,mateIn1 mate oneMove
0P77e,quietMove pawnEndgame long
0PSU4,long
0PU77,mateIn2 mate rookEndgame short
0Pc4u,mateIn1 mate oneMove
0PdqJ,short
0QjmM,fork long
0QuVO,mateIn2 mate short
0Qxuh,advancedPawn long
0R5lO,exposedKing queenRookEndgame long
0RDXD,skewer rookEndgame short
0RYr0,long
0S5tM,mateIn1 mate kingsideAttack oneMove
0SC2q,mateIn2 mate short
0SH9g,mateIn1 mate hangingPiece kingsideAttack oneMove
0SKwy,mateIn1 mate oneMove
0SMbO,mateIn2 mate hangingPiece kingsideAttack short
0SQMX,mateIn2 mate short
0SYSC,mateIn3 mate attraction sacrifice pin long
0SZyn,mateIn3 mate long
0SlnE,pawnEndgame long
0TIW0,mateIn2 mate short
0TTRU,mateIn1 mate kingsideAttack oneMove
0TcCw,short
0UAqq,mateIn1 mate oneMove
0UVKU,mateIn4 mate backRankMate sacrifice discoveredAttack veryLong
0UcQS,long
0UeQR,mateIn2 mate sacrifice discoveredAttack kingsideAttack short
0Uovl,mateIn2 mate short
0VVlQ,short
0VWHc,mateIn2 mate backRankMate sacrifice short
0VuZT,short
0W0Wo,discoveredAttack short
0W3FS,mateIn1 mate oneMove
0W4kG,fork short
0WLS1,short
0WMVR,mateIn1 mate kingsideAttack oneMove
0WmYZ,mateIn1 mate oneMove
0X2xw,advancedPawn short
0XC2m,mateIn1 mate oneMove
0XIuR,mateIn1 mate backRankMate hangingPiece oneMove
0XLNL,fork long
0XRB5,advancedPawn promotion pawnEndgame long
0Xcax,mateIn1 mate oneMove
0Y0bi,short
0YRAu,mateIn1 mate oneMove
0YfKt,mateIn1 mate oneMove
0Z8jm,discoveredAttack short
0ZG9n,kingsideAttack short
0Zo75,discoveredAttack long
0aXK0,mateIn2 mate short
0aZGV,mateIn1 mate kingsideAttack oneMove
0b7Bx,mateIn1 mate oneMove
0b7SV,hangingPiece long
0b7rc,mateIn1 mate kingsideAttack oneMove
0bSu2,mateIn1 mate backRankMate oneMove
0bX1E,mateIn1 mate kingsideAttack oneMove
0bnj3,mateIn1 mate backRankMate hangingPiece oneMove
0c9J7,mateIn2 mate backRankMate short
0d1P7,pin long
0dVlo,skewer queenEndgame veryLong
0dgHn,long
